      x         y          u
   7.50000   0.25000   5.89950e-01
   7.75000   0.25000   5.21027e-01
   8.00000   0.25000   4.55326e-01
   8.25000   0.25000   3.92439e-01
   8.50000   0.25000   3.31979e-01
   8.75000   0.25000   2.73571e-01
   9.00000   0.25000   2.16855e-01
   9.25000   0.25000   1.61479e-01
   9.50000   0.25000   1.07102e-01
   9.75000   0.25000   5.33859e-02
  10.00000   0.25000   0.00000e+00
   0.00000   0.50000   1.56434e+01
   0.25000   0.50000   1.44576e+01
   0.50000   0.50000   1.33609e+01
   0.75000   0.50000   1.23466e+01
   1.00000   0.50000   1.14084e+01
   1.25000   0.50000   1.05405e+01
   1.50000   0.50000   9.73766e+00
   1.75000   0.50000   8.99486e+00
   2.00000   0.50000   8.30753e+00
   2.25000   0.50000   7.67143e+00
   2.50000   0.50000   7.08266e+00
   2.75000   0.50000   6.53757e+00
   3.00000   0.50000   6.03281e+00
   3.25000   0.50000   5.56527e+00
   3.50000   0.50000   5.13207e+00
   3.75000   0.50000   4.73053e+00
   4.00000   0.50000   4.35819e+00
   4.25000   0.50000   4.01274e+00
   4.50000   0.50000   3.69206e+00
   4.75000   0.50000   3.39418e+00
   5.00000   0.50000   3.11725e+00
   5.25000   0.50000   2.85956e+00
   5.50000   0.50000   2.61953e+00
   5.75000   0.50000   2.39569e+00
   6.00000   0.50000   2.18663e+00
   6.25000   0.50000   1.99109e+00
   6.50000   0.50000   1.80785e+00
   6.75000   0.50000   1.63578e+00
   7.00000   0.50000   1.47381e+00
   7.25000   0.50000   1.32096e+00
   7.50000   0.50000   1.17627e+00
   7.75000   0.50000   1.03885e+00
   8.00000   0.50000   9.07848e-01
   8.25000   0.50000   7.82463e-01
   8.50000   0.50000   6.61914e-01
   8.75000   0.50000   5.45458e-01
   9.00000   0.50000   4.32375e-01
   9.25000   0.50000   3.21964e-01
   9.50000   0.50000   2.13544e-01
   9.75000   0.50000   1.06443e-01
  10.00000   0.50000   0.00000e+00
   0.00000   0.75000   2.33445e+01
   0.25000   0.75000   2.15749e+01
   0.50000   0.75000   1.99383e+01
   0.75000   0.75000   1.84246e+01
   1.00000   0.75000   1.70246e+01
   1.25000   0.75000   1.57295e+01
   1.50000   0.75000   1.45314e+01
   1.75000   0.75000   1.34229e+01
   2.00000   0.75000   1.23972e+01
   2.25000   0.75000   1.14480e+01
   2.50000   0.75000   1.05694e+01
   2.75000   0.75000   9.75595e+00
   3.00000   0.75000   9.00270e+00
   3.25000   0.75000   8.30500e+00
   3.50000   0.75000   7.65854e+00
   3.75000   0.75000   7.05933e+00
   4.00000   0.75000   6.50368e+00
   4.25000   0.75000   5.98818e+00
   4.50000   0.75000   5.50964e+00
   4.75000   0.75000   5.06510e+00
   5.00000   0.75000   4.65184e+00
   5.25000   0.75000   4.26730e+00
   5.50000   0.75000   3.90911e+00
   5.75000   0.75000   3.57506e+00
   6.00000   0.75000   3.26310e+00
   6.25000   0.75000   2.97129e+00
   6.50000   0.75000   2.69784e+00
   6.75000   0.75000   2.44106e+00
   7.00000   0.75000   2.19936e+00
   7.25000   0.75000   1.97126e+00
   7.50000   0.75000   1.75534e+00
   7.75000   0.75000   1.55027e+00
   8.00000   0.75000   1.35478e+00
   8.25000   0.75000   1.16767e+00
   8.50000   0.75000   9.87772e-01
   8.75000   0.75000   8.13985e-01
   9.00000   0.75000   6.45231e-01
   9.25000   0.75000   4.80466e-01
   9.50000   0.75000   3.18671e-01
   9.75000   0.75000   1.58845e-01
  10.00000   0.75000   0.00000e+00
   0.00000   1.00000   3.09017e+01
   0.25000   1.00000   2.85592e+01
   0.50000   1.00000   2.63928e+01
   0.75000   1.00000   2.43891e+01
